BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL
BL,BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL
BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL
BL,BL,,fb,,,,,,,,,,,,,,,fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL
BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fb,,,mp,,,,,SH,SH,SH,,,,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL
BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL
BL,BL,,,,,,,,PR,,,,mp,,,,PR,,,,PR,,,,PR,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,,,,mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc,,,,,SH,SH,BL,BL
BL,BL,,,fb,,,,,PR,,,,,,,,PR,,,,PR,,,,PR,,SH,SH,,,,,PR,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH,SH,BL,BL
BL,BL,,,,,,,,PR,,,,,,,,PR,,,,PR,fb,,,PR,,,,,,,,PR,,fb,,,,,,,BL,BL,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH,SH,SH,SH,SH,,,SH,SH,BL,BL
BL,BL,SH,,,,,,,PR,,,,PR,,,,PR,,,,PR,,,,PR,,,,,,,,PR,,,,,,,,,BL,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH,SH,BL,BL
