block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,,,,deco_candle,,,deco_candle,,block,,deco_candle,,,block,,deco_candle,,,,,,,,,,,,,,,,deco_candle,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,moving_platform,,,,,,,,,,,,,,,,,,,,,,,,,,deco_candle,,,,,,,,,moving_platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,,,,block,,,block,,,,block,,,,,block,,,,,block,block,,,,,worm,,,,,block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,,,,block,,,block,,,,block,,,,,block,,,,,,block,,,block,block,block,block,block,,,block,,,,,,moving_platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,,,,block,,,block,,B,,block,,,A,,block,,,B,,,block,,,,,E,,,,,block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,block,,,,block,,,block,,,,block,,,,,block,,,,,,block,,,,,,,,,,block,,,,,,,,deco_candle,,,,,,,,,,moving_platform,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,block,,,,block,,,block,,,,block,,,,,block,,,block,,,block,,,,,,,,,,block,,,moving_platform,,,,,,,,,,block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,block,,,,block,,,block,,,,block,,,,,block,,,block,,,block,,,,moving_platform,,,,,,block,,,,,,,,block,,,,,block,,,shelf,,,shelf,,,shelf,,,shelf,,,,,,,,,,,,,,,,,,,
block,,,block,,,,block,,,block,,,,block,,,flying_book,,block,,,block,,,block,,,,,,,,,,block,,,,,,,,block,,,,,block,,,shelf,,,shelf,,,shelf,,,shelf,,,,,,,,,,,,,,,,,,,
block,,,block,,,,block,,,block,,,,block,,,,,block,,,,,,block,,,,,,,,,,block,,,,,,deco_candle,,block,,,,,block,,,shelf,,,shelf,,,shelf,,,shelf,,,,,,,,,,,,,,,,,,,
block,,,block,,,,block,,,block,,,,block,,,,,block,,,,,,block,,,,moving_platform,,,,,,,,,,,,block,,block,,,,,block,,,shelf,,,shelf,,,shelf,,,shelf,,,,,,,,,,,,,,,,,,,
block,,,block,,,,block,,,block,,,,block,,,,,block,,,,,,block,,,,,,,,flying_book,,,,,,,,block,,block,,,,,,,,shelf,flying_book,,shelf,flying_book,,shelf,flying_book,,shelf,,,,,,,,,,,,,,,,,,,
block,,player,,,deco_candle,,block,,,block,,deco_candle,,block,,,deco_candle,,block,,,deco_candle,,,block,,,,deco_candle,,,,,,moving_platform,,,,deco_candle,,,,block,,,,moving_platform,,,,shelf,,,shelf,,,shelf,,,shelf,,,,,,,,,,,,,,,,,,,
block,,,,,,,,,,,,,,,,block,,,,,,,,,,,,,worm,,,,,,,,,,,,,,block,,,,,,,,shelf,,,shelf,,,shelf,,,shelf,,,,,,,,,,,,,,,,,,,
block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block,block
