SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,,dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,,player,,,,,,,,,,,,,,,,,,,,,,dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,SH,SH,SH,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,SH,SH,SH,,,,,,,,,,A,,,,,mp,,,,,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,SH,SH,SH,,,,,,,,,,,,,,,,,,,,BL,BL,BL,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL
SH,SH,SH,SH,SH,SH,,,,,,,,,,,,,,,,,,,,BL,BL,BL,SH,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,,,,,BL
SH,SH,BL,SH,SH,SH,,dc,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,BL,BL,,,,,,,,,,BL
BL,BL,BL,BL,BL,BL,,D,,,,,,,,,,,,,,,,fb,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,,,BL,BL,BL,BL,BL,,,,,,BL
BL,BL,,fb,,BL,BL,SH,SH,SH,,,,,,,,,,dc,,,,,,,mp,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,PR,,,BL,BL,,,,BL,BL,,,,,,,,SH,,,BL,BL,BL,BL,,,,BL
BL,BL,,,,BL,,,,,,,,,ht,,,,,A,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,dc,PR,,,,,,dc,,,,,,BL,BL,,,,SH,,,,BL,BL,BL,BL,,,BL
