BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,SH,SH,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,worm,,,,worm,db,,,,BL,BL,BL,BL
BL,BL,,,,,,,,,,,,,,SH,SH,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,,,,,SH,SH,BL,BL,BL,BL,BL,BL,BL,SH,SH,SH,SH,SH,SH,SH,SH,SH,BL,BL,BL,BL,BL
BL,BL,,,,,,,,,,,,,,SH,SH,,,,,fb,,,,BL,BL,BL,BL,BL,,,,,,,,,,,,,,,fb,,,,,fb,,,,,PR,,,,,,,,,BL,BL
BL,BL,,,,,,,,,,,,,,SH,SH,,,,,,,ti,,BL,BL,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,PR,,,,,,,,,BL,BL
BL,BL,,,,,,,,,dc,,,,,BL,BL,,,,,,,,,,BL,BL,BL,BL,,,dc,,,,,,,,,,,,,,,,,,,,,,PR,,,,,,,dc,,BL,BL
BL,BL,,,,,,,,,,,,,,BL,BL,,,,,,,,,,BL,BL,BL,BL,,,B,db,,,,,,,,,ti,,,,,,,,,,,,PR,,,,,,,A,db,BL,BL
BL,BL,,L,,,,fb,,SH,SH,,,,,,,,,,,,SH,SH,,,,BL,BL,BL,,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,PR,,,,,,SH,SH,SH,BL,BL
BL,BL,,dc,,,,,,,,,mp,,,,,,,,,E,,,,,,,,BL,,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,PR,,,PR,,,,,,BL,BL
BL,BL,,,,fb,,,,,,,,,,,,,,,,dc,,,,,,,,,,,,,,,,,,mp,,,,,,,,,,,,,,dh,PR,,,PR,,,,,,BL,BL
BL,BL,BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mp,,,,,,,,,PR,,,PR,,,,,,BL,BL
BL,BL,BL,BL,BL,BL,BL,,,,,,,,,,,,,SH,SH,SH,SH,SH,,,,,,,dc,,,,,,,,,,,,,,,,,,,,,,,SH,SH,SH,,PR,,,,,,BL,BL
BL,BL,BL,BL,BL,BL,BL,,,,,,,,H,,,,,,,PR,,,,,,,worm,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,,,,,BL,BL
BL,BL,BL,BL,BL,BL,BL,,,,,,,,,fb,,,,,,PR,,,,,,,SH,SH,SH,SH,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,,,,,BL,BL
BL,BL,BL,BL,BL,BL,BL,,,,,,,,,,,,,,,PR,,,,,,,,,,,,,,,,,,,,,,,dh,,,,,,,,,BL,BL,BL,BL,BL,BL,dc,,,SH,BL,BL
BL,BL,BL,,,,BL,,,,,mp,,,,,,,,,,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,ht,,,,BL,BL
BL,BL,,,,,,,,,,,,,,,,,,,,PR,,,,,,,,,,,,,,,,,,,,,,SH,SH,,,,,,,,,,,,,BL,BL,BL,,,,BL,BL
BL,BL,,,ti,,,,,,,,,,,,,,,,,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fb,,,,,,,,dh,BL,BL
BL,BL,,,,,,,,,,SH,,,,,,,,,,PR,,,,,,,,,dc,,,,,,,,,SH,db,,dc,,,,,,,,,,,,,fb,,,,,,,,BL,BL
BL,BL,,,,,,PR,,,,SH,SH,,,,,,,,,PR,,,,,dc,,,,D,,,,db,,,,db,SH,BL,,,,,,,,,,,,,,,,fb,,,,,,BL,BL,BL
BL,BL,SH,,,,worm,PR,worm,,,SH,SH,,dc,,,dh,,,,PR,,,,,,db,,BL,BL,BL,BL,,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,,,dc,,,,fb,,,fb,,dc,,,BL,BL,BL
BL,BL,,,,BL,,PR,,,,SH,SH,,player,,,,,,worm,PR,,,worm,BL,BL,BL,BL,BL,BL,BL,BL,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,,,,,,fb,,,,B,,SH,BL,BL,BL
BL,BL,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,BL,BL,BL,BL,,worm,,BL,BL,BL,BL,BL,BL,,,,BL,BL,BL,,,,fb,,BL,BL,BL,BL,BL,BL,BL
BL,BL,,,SH,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,worm,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,BL,BL,BL,,,,,fb,BL,BL,BL,BL,BL,BL,BL
BL,BL,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,db,worm,db,,BL,BL,BL,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,dc,,BL,BL,BL,BL,,,,,,BL,BL,BL,BL,BL,BL,BL
BL,BL,,,S,,,BL,BL,BL,BL,BL,BL,,dc,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,,BL,BL,BL,BL,BL,BL,BL,,fb,,fb,,,,,,,,,BL,BL,BL,BL,,,,,,BL,BL,,,,BL,BL
BL,BL,SH,,dc,,,BL,BL,BL,BL,BL,,,ht,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,dc,BL,BL,BL,BL,BL,BL,BL,,,fb,,,,,,SH,SH,SH,SH,BL,BL,BL,BL,,,,,,BL,BL,,dc,,BL,BL
BL,BL,SH,worm,,,,,,ht,,,,,SH,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,db,,,,,,,,,,,,ht,,BL,BL
BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,SH,db,worm,,worm,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,mp,,,,,BL,BL,BL,BL,BL,BL,BL
,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,BL,BL,BL,BL,BL,BL,BL
