BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,BL,,,,,,,,,,,,,,,,,,,,,,,,,
BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL
BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL
BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,,,,,,,,fb,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL
BL,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL
BL,,,ti,,,,,A,,,,,,,,,,,,,,,,,dc,,,Y,,dc,,,BL,BL,BL,BL,BL,BL,BL,BL,,,,,,dh,ht,,BL,,,,,,BL,BL,BL,BL
BL,,,,,,dc,,,,,dc,,,,,dc,,,,,,,,,,,,,,worm,,,BL,BL,BL,,,,,BL,,,,,,,,,BL,,,,,,BL,BL,BL,BL
BL,,,,,,,,db,,,,,,,,,,E,,,,,,SH,SH,SH,SH,SH,SH,SH,SH,SH,BL,BL,,,,,,SH,,,E,,,BL,,,BL,,,,,,,,,BL
BL,,,,,,BL,BL,BL,BL,BL,BL,,,,SH,SH,mp,,,,,,,,,,,,,,,,,BL,,,A,,,SH,,,,,,BL,,,BL,,SH,,,,dc,L,dc,BL
BL,,,,,SH,BL,BL,BL,BL,BL,BL,,,BL,BL,BL,,,,,,,,,,,,,,,,,,BL,,,,,,SH,,,,,,BL,,,BL,,SH,,,,,,,BL
BL,,,,,,,,BL,BL,BL,,,,,,,,,,,SH,SH,mp,,,,,,,,,,,BL,,,,,,SH,,,BL,,,BL,,,BL,,SH,,,,BL,BL,BL,BL
BL,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,SH,,,BL,,,BL,,,BL,,BL,,,,BL,BL,BL,BL
